promise_id,customer_id,customer_broken_promise_rate,customer_broken_promises_count,customer_avg_days_late,customer_on_time_ratio_90d,customer_on_time_ratio_all_time,recency_weighted_on_time_score,customer_dispute_rate,customer_invoice_count,customer_tenure_months,invoice_amount,invoice_amount_log,invoice_amount_vs_customer_avg_ratio,days_overdue_at_scoring,payment_terms_days,days_since_last_contact,prior_reminders_sent,promise_amount_ratio,promise_horizon_days,current_escalation_tier,is_broken
PRM-MOCK-001000,CUST-MOCK-0001,0.6667,4,21.93,0.4504,0.3618,0.4245,0.1654,19,34,170005.03,12.0436,1.141,7,45,19,4,0.25,2,3,1
PRM-MOCK-001001,CUST-MOCK-0002,0.3,3,16.21,0.3711,0.2742,0.3485,0.033,31,10,27455.05,10.2203,0.84,13,45,5,1,0.25,2,0,0
PRM-MOCK-001002,CUST-MOCK-0003,0.5909,13,9.98,0.6437,0.6198,0.6389,0.0936,64,39,23945.55,10.0836,1.544,8,30,14,2,0.5,10,1,1
PRM-MOCK-001003,CUST-MOCK-0004,0.5556,10,31.4,0.3727,0.4602,0.3907,0.1626,52,61,32864.5,10.4002,0.8,28,30,16,4,1.0,21,3,1
PRM-MOCK-001004,CUST-MOCK-0005,0.0556,1,3.31,0.8038,0.9118,0.826,0.0,53,79,202979.3,12.2209,0.968,22,30,12,4,0.8,14,3,0
PRM-MOCK-001005,CUST-MOCK-0006,0.6,6,15.46,0.0146,0.3646,0.0975,0.0942,30,5,10554.97,9.2644,0.604,17,15,12,4,1.0,5,3,1
PRM-MOCK-001006,CUST-MOCK-0007,0.5263,10,29.83,0.5602,0.548,0.5577,0.1005,55,24,32440.39,10.3872,0.854,3,60,24,3,0.8,10,2,1
PRM-MOCK-001007,CUST-MOCK-0008,0.0,0,23.49,0.4485,0.4553,0.4522,0.1521,3,76,87128.35,11.3751,1.643,12,30,12,1,1.0,3,0,0
PRM-MOCK-001008,CUST-MOCK-0009,0.0,0,0.0,0.976,0.9509,0.9706,0.0487,39,81,71340.29,11.1752,1.078,39,60,19,3,1.0,10,2,0
PRM-MOCK-001009,CUST-MOCK-0010,0.0833,1,15.96,0.2741,0.3006,0.2799,0.0557,37,23,15973.92,9.6788,0.788,1,30,21,4,0.5,3,3,0
PRM-MOCK-001010,CUST-MOCK-0011,0.1818,2,25.17,0.2715,0.3517,0.2901,0.052,32,82,17534.06,9.772,1.0,5,30,1,3,1.0,5,2,1
PRM-MOCK-001011,CUST-MOCK-0012,0.5556,10,14.56,0.035,0.385,0.107,0.0905,52,66,44128.8,10.6949,0.939,111,45,22,2,1.0,2,1,1
PRM-MOCK-001012,CUST-MOCK-0013,0.375,9,30.18,0.4361,0.5278,0.4545,0.1218,71,83,273132.93,12.5177,1.388,3,30,12,3,1.0,2,2,1
PRM-MOCK-001013,CUST-MOCK-0014,0.0,0,8.63,0.5636,0.5079,0.5313,0.0421,2,93,53371.07,10.885,1.452,104,60,22,5,1.0,21,3,1
PRM-MOCK-001014,CUST-MOCK-0015,0.2,4,10.75,0.3276,0.3133,0.3247,0.1187,58,16,37054.83,10.5202,0.783,90,15,2,4,0.5,3,3,1
PRM-MOCK-001015,CUST-MOCK-0016,0.0,0,0.0,0.9597,0.912,0.9445,0.0,16,50,18440.51,9.8224,0.925,6,30,7,1,1.0,2,0,0
